Matchup,Open,Closing Range Start,Closing Range End,Movement,Date
Aiemann Zahabi,115.0,-230.0,-188.0,-0.4589999999999999,2024-11-02
Aiemann Zahabi,140.0,140.0,140.0,,2025-05-11
Aiemann Zahabi,-138.0,-186.0,-155.0,0.131,2025-10-18
Ailin Perez,125.0,200.0,222.0,-0.222,2022-09-03
Ailin Perez,130.0,100.0,110.0,-0.133,2023-02-25
Ailin Perez,,,,,2023-05-20
Ailin Perez,-275.0,-275.0,-220.0,0.022,2023-07-15
Ailin Perez,-125.0,-200.0,-175.0,0.2339999999999999,2023-11-18
Ailin Perez,-250.0,-235.0,-205.0,0.004,2024-06-01
Ailin Perez,-250.0,-245.0,-205.0,0.031,2024-09-28
Ailin Perez,142.0,200.0,225.0,-0.142,2025-01-19
Aisling Daly,-285.0,-230.0,-220.0,0.065,2014-12-12
Aisling Daly,220.0,235.0,240.0,0.053,2015-04-25
Aisling Daly,-125.0,-105.0,100.0,0.087,2015-10-24
Aj Cunningham,575.0,600.0,800.0,-0.026,2024-03-02
Aj Dobson,-200.0,-160.0,-102.0,-0.396,2022-02-12
Aj Dobson,114.0,155.0,165.0,-0.155,2024-03-24
Aj Fletcher,150.0,155.0,180.0,-0.008,2023-09-23
Akbarh Arreola,145.0,250.0,275.0,0.325,2014-07-26
Akbarh Arreola,160.0,245.0,280.0,-0.11,2014-11-22
Akbarh Arreola,200.0,170.0,170.0,0.095,2015-03-21
Akbarh Arreola,335.0,650.0,675.0,-0.089,2015-11-14
Akihiro Gono,-225.0,-210.0,-210.0,0.022,2007-11-17
Akihiro Gono,-340.0,-280.0,-280.0,-0.118,2008-10-18
Akihiro Gono,440.0,515.0,515.0,0.122,2009-01-31
Akira Corassani,120.0,125.0,145.0,0.025,2012-09-29
Akira Corassani,250.0,400.0,420.0,-0.071,2013-04-06
Akira Corassani,190.0,170.0,177.0,0.085,2013-11-30
Akira Corassani,335.0,845.0,850.0,-0.103,2014-04-16
Akira Corassani,325.0,455.0,480.0,-0.035,2014-10-04
Akira Corassani,-140.0,-130.0,-120.0,0.048,2015-01-24
Al Iaquinta,145.0,340.0,340.0,-0.22,2012-03-30
Al Iaquinta,-475.0,-410.0,-370.0,-0.126,2012-05-18
Al Iaquinta,-180.0,-185.0,-178.0,0.06,2012-05-25
Al Iaquinta,-280.0,-265.0,-260.0,0.099,2012-06-01
Al Iaquinta,-245.0,-220.0,-200.0,0.0279999999999999,2013-08-31
Al Iaquinta,-170.0,-160.0,-160.0,0.023,2013-10-26
Al Iaquinta,-210.0,-165.0,-150.0,-0.092,2014-02-01
Al Iaquinta,-350.0,-450.0,-430.0,0.247,2014-05-24
Al Iaquinta,-385.0,-620.0,-600.0,0.376,2014-09-05
Al Iaquinta,-105.0,114.0,120.0,0.01,2014-11-07
Al Iaquinta,-135.0,-192.0,-185.0,0.2739999999999999,2015-01-31
Al Iaquinta,150.0,-110.0,-110.0,-0.31,2015-04-04
Al Iaquinta,-350.0,-450.0,-420.0,0.21,2017-04-22
Al Iaquinta,550.0,470.0,470.0,-0.14,2018-04-07
Al Iaquinta,195.0,275.0,300.0,-0.07,2018-12-15
Al Iaquinta,-135.0,-139.0,-130.0,0.006,2019-05-04
Al Iaquinta,-130.0,110.0,115.0,-0.086,2019-10-05
Al Iaquinta,110.0,150.0,170.0,-0.1689999999999999,2021-11-06
Alan Baudot,250.0,450.0,500.0,-0.115,2020-10-10
Alan Baudot,275.0,255.0,355.0,-0.01,2021-07-17
Alan Baudot,170.0,200.0,242.0,-0.104,2022-02-19
Alan Baudot,,,,,2022-05-14
Alan Baudot,-115.0,-111.0,116.0,-0.088,2022-06-25
Alan Belcher,100.0,110.0,110.0,0.048,2007-10-20
Alan Belcher,-410.0,-370.0,-370.0,0.021,2008-04-19
Alan Belcher,190.0,240.0,240.0,0.147,2008-09-17
Alan Belcher,260.0,220.0,220.0,-0.125,2009-01-17
Alan Belcher,250.0,173.0,173.0,-0.282,2009-07-11
Alan Belcher,100.0,-125.0,-125.0,-0.111,2009-12-12
Alan Belcher,110.0,-117.0,-117.0,-0.132,2010-05-08
Alan Belcher,220.0,-290.0,-290.0,-1.379,2011-09-17
Alan Belcher,265.0,190.0,200.0,-0.237,2012-05-05
Alan Belcher,115.0,-120.0,-115.0,-0.1639999999999999,2012-12-29
Alan Belcher,150.0,155.0,165.0,0.038,2013-04-27
Alan Jouban,145.0,140.0,145.0,-0.008,2014-08-16
Alan Jouban,170.0,340.0,345.0,0.391,2014-11-08
Alan Jouban,-385.0,-250.0,-230.0,0.111,2015-02-28
Alan Jouban,-405.0,-525.0,-500.0,0.238,2015-07-15
Alan Jouban,170.0,220.0,230.0,0.1689999999999999,2015-10-03
Alan Jouban,-475.0,-525.0,-500.0,-0.013,2016-03-19
Alan Jouban,-145.0,-145.0,-145.0,0.0,2016-07-07
Alan Jouban,100.0,122.0,125.0,-0.012,2016-12-17
Alan Jouban,180.0,250.0,275.0,0.2289999999999999,2017-03-18
Alan Jouban,-185.0,-175.0,-165.0,0.03,2017-08-05
