Matchup,Open,Closing Range Start,Closing Range End,Movement,Date
Jumabieke Tuerxun,-230.0,-450.0,-440.0,0.426,2014-03-01
Jumabieke Tuerxun,-130.0,110.0,115.0,-0.072,2014-07-06
Jumabieke Tuerxun,260.0,450.0,540.0,-0.09,2014-11-07
Jun Yong Park,170.0,120.0,130.0,-0.2,2019-08-31
Jun Yong Park,100.0,105.0,110.0,0.038,2019-12-21
Jun Yong Park,-220.0,-290.0,-265.0,-0.07,2020-10-17
Jun Yong Park,160.0,110.0,135.0,-0.156,2021-05-08
Jun Yong Park,-170.0,105.0,120.0,0.247,2021-10-23
Jun Yong Park,-110.0,-225.0,-185.0,0.28,2022-05-21
Jun Yong Park,-230.0,-235.0,-200.0,0.009,2022-10-29
Jun Yong Park,-245.0,-235.0,-189.0,-0.0289999999999999,2023-02-04
Jun Yong Park,-138.0,-163.0,-140.0,-0.048,2023-07-15
Jun Yong Park,-250.0,-205.0,-182.0,0.078,2023-12-10
Jun Yong Park,-175.0,-240.0,-225.0,0.19,2024-10-13
Jun Yong Park,-225.0,-225.0,-225.0,,2025-06-21
Junie Browning,-390.0,-320.0,-320.0,0.043,2008-12-13
Junie Browning,-120.0,135.0,135.0,-0.16,2009-04-01
Junior Albini,175.0,240.0,245.0,-0.04,2017-07-22
Junior Albini,-210.0,-330.0,-320.0,0.288,2017-11-11
Junior Albini,-120.0,-145.0,-137.0,-0.073,2018-05-12
Junior Albini,100.0,-146.0,-125.0,0.21,2019-02-02
Junior Albini,115.0,-111.0,105.0,-0.075,2019-06-29
Junior Assuncao,175.0,175.0,175.0,0.0,2007-09-19
Junior Assuncao,-163.0,125.0,125.0,0.283,2011-09-24
Junior Assuncao,180.0,295.0,295.0,0.291,2011-12-30
Junior Dos Santos,600.0,450.0,450.0,-0.273,2008-10-25
Junior Dos Santos,-265.0,-280.0,-280.0,0.047,2009-02-21
Junior Dos Santos,110.0,-155.0,-155.0,-0.276,2009-09-19
Junior Dos Santos,-270.0,-305.0,-305.0,0.173,2010-01-02
Junior Dos Santos,-285.0,-250.0,-250.0,0.015,2010-03-21
Junior Dos Santos,-325.0,-345.0,-345.0,0.157,2010-08-07
Junior Dos Santos,-195.0,-155.0,-155.0,0.08,2011-06-11
Junior Dos Santos,105.0,115.0,115.0,0.047,2011-11-12
Junior Dos Santos,-520.0,-475.0,-455.0,0.019,2012-05-26
Junior Dos Santos,-135.0,-210.0,-190.0,-0.16,2012-12-29
Junior Dos Santos,-460.0,-475.0,-450.0,-0.001,2013-05-25
Junior Dos Santos,150.0,175.0,185.0,0.107,2013-10-19
Junior Dos Santos,-270.0,-465.0,-400.0,0.37,2014-12-13
Junior Dos Santos,-265.0,-235.0,-227.0,0.031,2015-12-19
Junior Dos Santos,-150.0,-115.0,-105.0,-0.1,2016-04-10
Junior Dos Santos,175.0,145.0,149.0,0.113,2017-05-13
Junior Dos Santos,-120.0,-190.0,-190.0,-0.201,2018-07-14
Junior Dos Santos,-135.0,-161.0,-147.0,-0.061,2018-12-01
Junior Dos Santos,-145.0,-240.0,-222.0,-0.176,2019-03-09
Junior Dos Santos,170.0,175.0,187.0,0.018,2019-06-29
Junior Dos Santos,145.0,240.0,260.0,-0.163,2020-01-25
Junior Dos Santos,120.0,110.0,125.0,-0.009,2020-08-15
Junior Dos Santos,230.0,305.0,350.0,0.2269999999999999,2020-12-12
Junior Tafa,100.0,-132.0,-112.0,0.07,2023-04-22
Junior Tafa,-105.0,-117.0,114.0,-0.02,2024-08-18
Junior Tafa,-258.0,-250.0,-230.0,-0.065,2024-10-12
Junior Tafa,125.0,125.0,125.0,,2024-10-26
Junior Tafa,-163.0,-180.0,-163.0,-0.027,2025-07-13
Junior Tafa,125.0,126.0,145.0,0.047,2025-09-28
Junyong Park,285.0,140.0,190.0,0.12,2025-10-25
Jussier Formiga,160.0,165.0,170.0,0.036,2014-03-23
Jussier Formiga,160.0,275.0,290.0,-0.131,2014-08-16
Jussier Formiga,-135.0,-105.0,-105.0,-0.044,2015-05-30
Jussier Formiga,220.0,385.0,425.0,-0.12,2015-11-21
Jussier Formiga,-190.0,-210.0,-200.0,0.084,2016-09-24
Jussier Formiga,-130.0,105.0,110.0,-0.072,2017-03-11
Jussier Formiga,-475.0,-420.0,-380.0,0.032,2017-09-22
Jussier Formiga,-155.0,-113.0,-110.0,-0.173,2018-02-10
Jussier Formiga,145.0,162.0,165.0,-0.009,2018-10-06
Jussier Formiga,135.0,130.0,150.0,0.022,2019-03-23
Jussier Formiga,125.0,105.0,115.0,0.083,2019-06-29
Jussier Formiga,-185.0,-190.0,-180.0,0.061,2020-03-14
Jussier Formiga,-130.0,110.0,125.0,-0.2289999999999999,2020-06-06
Jussier da Silva,170.0,230.0,235.0,-0.04,2012-10-05
Jussier da Silva,-195.0,-170.0,-165.0,-0.008,2013-05-18
Jussier da Silva,250.0,500.0,580.0,-0.127,2013-09-04
Justin Buchholz,173.0,205.0,205.0,-0.033,2008-01-23
Justin Buchholz,200.0,195.0,195.0,0.006,2008-07-05
Justin Buchholz,190.0,260.0,260.0,0.1939999999999999,2009-06-13
Justin Buchholz,190.0,225.0,225.0,-0.016,2009-09-16
Justin Buchholz,290.0,275.0,275.0,-0.04,2010-02-06
Justin Edwards,-205.0,-200.0,-200.0,0.008,2011-06-04
Justin Edwards,290.0,320.0,320.0,-0.023,2011-09-17
Justin Edwards,-130.0,-130.0,-130.0,0.132,2011-11-05
Justin Edwards,250.0,255.0,275.0,0.0409999999999999,2012-10-05
Justin Edwards,185.0,220.0,248.0,0.147,2013-08-28
Justin Edwards,130.0,135.0,145.0,0.042,2014-01-15
Justin Edwards,160.0,175.0,175.0,0.055,2015-06-06
Justin Frazier,-170.0,150.0,155.0,-0.47,2018-11-30
Justin Gaethje,-120.0,132.0,145.0,0.233,2017-07-07
Justin Gaethje,-245.0,-182.0,-170.0,0.102,2017-12-02
Justin Gaethje,-110.0,103.0,105.0,0.064,2018-04-14
Justin Gaethje,-115.0,120.0,125.0,0.162,2018-08-25
Justin Gaethje,-105.0,100.0,102.0,0.043,2019-03-30
Justin Gaethje,-250.0,-185.0,-175.0,0.104,2019-09-14
Justin Gaethje,155.0,190.0,200.0,0.136,2020-05-09
Justin Gaethje,285.0,230.0,240.0,-0.156,2020-10-24
Justin Gaethje,-140.0,-225.0,-204.0,-0.172,2021-11-06
Justin Gaethje,175.0,110.0,136.0,-0.256,2022-05-07
Justin Gaethje,235.0,175.0,222.0,0.0289999999999999,2023-03-18
Justin Gaethje,-125.0,105.0,135.0,0.2,2023-07-30
Justin Gaethje,-278.0,-195.0,-150.0,0.119,2024-04-14
Justin Gaethje,-165.0,-160.0,-160.0,0.012,2025-03-08
Justin Gaethje,112.0,128.0,136.0,-0.0559999999999999,2025-03-09
Justin Jaynes,290.0,240.0,260.0,-0.114,2020-06-20
Justin Jaynes,185.0,-102.0,110.0,-0.4039999999999999,2020-08-08
Justin Jaynes,-155.0,180.0,190.0,0.425,2020-12-05
Justin Jaynes,225.0,260.0,305.0,0.147,2021-02-06
Justin Jaynes,145.0,121.0,150.0,-0.034,2021-06-26
Justin Jones,265.0,350.0,435.0,0.26,2014-12-06
Justin Jones,-170.0,-185.0,-185.0,-0.031,2015-04-04
Justin Lawrence,-200.0,-225.0,-225.0,0.115,2012-03-23
Justin Lawrence,-260.0,-311.0,-290.0,0.114,2012-05-11
Justin Lawrence,-350.0,-350.0,-345.0,0.132,2012-06-01
Justin Lawrence,150.0,150.0,150.0,0.05,2012-08-11
Justin Lawrence,-125.0,-105.0,100.0,0.008,2013-04-13
Justin Ledet,-170.0,-120.0,-120.0,0.134,2016-08-06
Justin Ledet,-155.0,-140.0,-133.0,0.032,2016-11-19
Justin Ledet,-315.0,-475.0,-470.0,-0.088,2017-09-16
Justin Ledet,-185.0,-120.0,-105.0,0.183,2018-07-22
Justin Ledet,280.0,175.0,195.0,0.133,2019-02-02
Justin Ledet,-170.0,100.0,112.0,-0.352,2020-01-18
Justin Ledet,145.0,270.0,290.0,-0.2319999999999999,2020-10-31
Justin McCully,415.0,375.0,375.0,0.033,2008-07-05
Justin McCully,140.0,155.0,155.0,-0.031,2008-12-10
Justin McCully,180.0,250.0,250.0,-0.063,2009-08-29
Justin Salas,-150.0,-140.0,-140.0,0.0279999999999999,2012-02-15
Justin Salas,120.0,120.0,132.0,0.027,2012-06-08
Justin Salas,-190.0,-245.0,-240.0,-0.081,2013-07-27
Justin Salas,160.0,210.0,225.0,-0.064,2013-11-09
Justin Salas,-210.0,-300.0,-290.0,-0.102,2014-05-10
Justin Salas,100.0,-145.0,-135.0,-0.1669999999999999,2014-07-16
Justin Salas,160.0,165.0,185.0,0.055,2016-03-05
Justin Scoggins,-150.0,-350.0,-340.0,0.466,2013-12-06
Justin Scoggins,-400.0,-675.0,-675.0,-0.089,2014-03-15
Justin Scoggins,-350.0,-290.0,-285.0,0.046,2014-07-06
Justin Scoggins,-250.0,-260.0,-250.0,0.108,2014-09-05
Justin Scoggins,-305.0,-500.0,-470.0,-0.1009999999999999,2015-05-23
Justin Scoggins,190.0,150.0,160.0,0.119,2016-02-06
Justin Scoggins,-165.0,-155.0,-155.0,0.024,2016-11-19
Justin Scoggins,-555.0,-525.0,-515.0,0.01,2017-06-17
Justin Scoggins,125.0,-105.0,100.0,-0.142,2018-07-14
Justin Tafa,130.0,-120.0,-105.0,-0.215,2019-10-05
Justin Tafa,145.0,200.0,220.0,0.215,2020-02-08
Justin Tafa,-105.0,155.0,170.0,0.258,2021-01-16
Justin Tafa,-205.0,-200.0,-178.0,0.027,2021-05-22
Justin Tafa,-325.0,-350.0,-310.0,-0.006,2021-12-18
Justin Tafa,-115.0,-128.0,-115.0,0.0289999999999999,2023-02-12
Justin Tafa,-150.0,-205.0,-175.0,-0.09,2023-06-24
Justin Tafa,-125.0,-162.0,-145.0,0.123,2023-08-26
Justin Tafa,-225.0,-215.0,-190.0,0.031,2023-09-10
Justin Tafa,142.0,115.0,195.0,0.114,2024-02-18
Justin Tafa,215.0,148.0,175.0,-0.212,2024-03-24
Justin Tafa,125.0,120.0,143.0,0.026,2025-02-09
Justin Willis,-190.0,-180.0,-140.0,0.061,2017-07-16
Justin Willis,-210.0,-230.0,-230.0,-0.0289999999999999,2017-12-02
Justin Willis,-215.0,-300.0,-290.0,-0.094,2018-04-21
Justin Willis,115.0,-111.0,-105.0,-0.121,2018-12-01
Justin Willis,175.0,200.0,235.0,-0.024,2019-03-23
Justin Wren,-400.0,-340.0,-340.0,0.034,2009-12-05
Justine Kish,-215.0,-220.0,-205.0,0.047,2016-01-02
Justine Kish,-190.0,-240.0,-230.0,0.161,2016-12-09
Justine Kish,-160.0,-162.0,-160.0,0.087,2017-06-25
Justine Kish,-230.0,-163.0,-160.0,-0.1159999999999999,2018-01-27
Justine Kish,120.0,150.0,155.0,-0.061,2020-01-25
Justine Kish,235.0,180.0,200.0,0.046,2020-09-12
Justine Kish,200.0,210.0,285.0,-0.085,2021-04-17
K.B. Bhullar,155.0,165.0,188.0,-0.062,2021-05-01
K.J. Noons,195.0,220.0,248.0,0.1169999999999999,2013-05-25
K.J. Noons,-245.0,-165.0,-145.0,0.144,2013-10-19
K.J. Noons,125.0,-119.0,-105.0,-0.1889999999999999,2014-04-16
K.J. Noons,125.0,185.0,200.0,-0.104,2014-12-12
K.J. Noons,-125.0,145.0,160.0,0.289,2015-05-30
K.J. Noons,-105.0,110.0,115.0,0.083,2016-02-06
Kaan Ofli,164.0,170.0,205.0,0.077,2024-08-25
Kaan Ofli,164.0,275.0,320.0,0.34,2025-02-01
Kaan Ofli,135.0,163.0,170.0,-0.113,2025-10-11
Kai Asakura,185.0,160.0,200.0,0.02,2024-12-08
Kai Asakura,-333.0,-335.0,-300.0,0.0819999999999999,2025-08-17
Kai Kamaka,-185.0,-265.0,-250.0,-0.11,2020-08-15
Kai Kamaka III,-200.0,-278.0,-270.0,0.179,2020-11-28
Kai Kamaka Iii.,-110.0,-125.0,-115.0,0.0409999999999999,2021-07-31
Kai Kara France,-365.0,-400.0,-360.0,-0.012,2018-12-01
Kai Kara France,-205.0,-139.0,-132.0,-0.291,2021-03-06
Kai Kara France,105.0,110.0,130.0,-0.068,2021-12-11
Kai Kara-France,-245.0,-278.0,-235.0,0.132,2019-02-09
Kai Kara-France,-320.0,-227.0,-185.0,-0.25,2019-08-31
Kai Kara-France,-130.0,-164.0,-160.0,0.1669999999999999,2019-12-14
Kai Kara-France,-350.0,-278.0,-260.0,-0.161,2020-02-22
Kai Kara-France,-185.0,-200.0,-200.0,0.037,2020-09-26
Kai Kara-France,170.0,290.0,350.0,-0.216,2022-03-26
Kai Kara-France,-205.0,-105.0,115.0,-0.506,2023-06-03
Kai Kara-France,,,,,2023-09-10
Kai Kara-France,172.0,195.0,240.0,-0.093,2024-08-18
Kai Kara-France,164.0,195.0,225.0,-0.055,2025-06-29
Kai Kara-France.,140.0,163.0,180.0,-0.1009999999999999,2022-07-30
Kai Lu,275.0,160.0,250.0,0.0409999999999999,2022-10-23
Kailin Curran,100.0,-122.0,-110.0,0.147,2014-11-22
Kailin Curran,-210.0,-250.0,-240.0,-0.048,2015-05-09
Kailin Curran,-300.0,-360.0,-325.0,-0.032,2015-12-10
Kailin Curran,-110.0,-148.0,-145.0,0.221,2016-07-23
Kailin Curran,-170.0,-125.0,-120.0,0.124,2016-12-03
Kailin Curran,110.0,152.0,155.0,0.173,2017-07-29
Kailin Curran,-110.0,120.0,135.0,0.163,2017-11-25
Kaiwen Li,150.0,163.0,163.0,0.0,2024-02-04
Kajan Johnson,-170.0,-185.0,-180.0,0.125,2014-06-14
Kajan Johnson,-140.0,-110.0,-105.0,0.11,2015-05-16
Kajan Johnson,-270.0,-320.0,-300.0,-0.036,2015-09-26
Kajan Johnson,180.0,410.0,450.0,-0.176,2017-09-09
Kajan Johnson,135.0,175.0,180.0,0.155,2018-03-17
Kajan Johnson,300.0,440.0,450.0,-0.057,2018-07-28
Kajan Johnson,325.0,570.0,575.0,-0.079,2018-09-15
Kalib Starnes,-140.0,-130.0,-130.0,0.048,2007-10-20
Kalib Starnes,400.0,185.0,185.0,-0.754,2008-04-19
Kalindra Faria,-270.0,-255.0,-240.0,0.023,2017-10-07
Kalindra Faria,-145.0,110.0,115.0,0.207,2018-01-14
Kalindra Faria,145.0,145.0,160.0,0.032,2018-08-25
Kalinn Williams,155.0,300.0,340.0,-0.216,2020-02-08
Kamal Shalorus,175.0,235.0,235.0,-0.011,2011-03-19
Kamal Shalorus,-135.0,100.0,100.0,0.13,2012-01-20
Kamal Shalorus,200.0,265.0,328.0,0.244,2012-05-15
Kamaru Usman,-185.0,-240.0,-225.0,0.1689999999999999,2015-07-12
Kamaru Usman,-140.0,-240.0,-225.0,0.322,2015-12-19
Kamaru Usman,-245.0,-300.0,-250.0,-0.033,2016-07-23
Kamaru Usman,-245.0,-210.0,-205.0,0.049,2016-11-19
Kamaru Usman,-215.0,-290.0,-260.0,-0.074,2017-04-08
Kamaru Usman,-440.0,-1000.0,-800.0,0.419,2017-09-16
Kamaru Usman,-705.0,-750.0,-620.0,0.105,2018-01-14
Kamaru Usman,-175.0,-525.0,-525.0,-0.32,2018-05-19
Kamaru Usman,-215.0,-333.0,-315.0,-0.121,2018-11-30
Kamaru Usman,105.0,165.0,170.0,0.2319999999999999,2019-03-02
Kamaru Usman,-200.0,-205.0,-190.0,0.003,2019-12-14
Kamaru Usman,-260.0,-278.0,-250.0,-0.004,2020-07-11
Kamaru Usman,-225.0,-303.0,-250.0,-0.057,2021-02-13
Kamaru Usman,-300.0,-375.0,-320.0,-0.032,2021-04-24
Kamaru Usman,-225.0,-320.0,-265.0,-0.0819999999999999,2021-11-06
Kamaru Usman,-300.0,-380.0,-315.0,0.072,2022-08-20
Kamaru Usman,-350.0,-280.0,-235.0,-0.2339999999999999,2023-03-18
Kamaru Usman,-200.0,145.0,320.0,0.5920000000000001,2023-10-21
Kamaru Usman,175.0,164.0,185.0,0.011,2025-06-15
Kamuela Kirk,225.0,160.0,170.0,0.122,2021-06-05
Kamuela Kirk,165.0,165.0,165.0,,2023-03-04
Kamuela Kirk,150.0,125.0,145.0,0.0579999999999999,2023-07-08
Kamuela Kirk.,125.0,-111.0,120.0,0.071,2022-03-12
Kanako Murata,-140.0,-240.0,-222.0,0.247,2020-11-14
Kanako Murata,105.0,110.0,121.0,-0.05,2021-06-19
Kanako Murata,-218.0,-455.0,-385.0,0.307,2023-10-07
Kang Kyung-Ho,110.0,-127.0,-112.0,0.111,2021-11-20
Kang Kyung-Ho,140.0,118.0,130.0,0.078,2023-06-17
Karine Gevorgyan,220.0,285.0,375.0,-0.0579999999999999,2017-12-01
Karine Silva,-190.0,-140.0,-125.0,-0.268,2022-06-04
Karine Silva,-160.0,-200.0,-188.0,0.096,2023-04-22
Karine Silva,-110.0,-225.0,-171.0,-0.297,2023-06-03
Karine Silva,-155.0,-138.0,-130.0,0.0579999999999999,2023-08-19
Karine Silva,110.0,-190.0,-150.0,0.278,2024-04-28
Karine Silva,-230.0,-350.0,-275.0,0.152,2024-11-17
Karine Silva,-163.0,-230.0,-200.0,0.191,2025-08-16
Karl Roberson,-190.0,-225.0,-225.0,0.132,2017-11-11
Karl Roberson,-130.0,130.0,140.0,-0.16,2018-05-12
Karl Roberson,145.0,-357.0,-325.0,-0.888,2018-11-03
Karl Roberson,-115.0,-111.0,-107.0,0.025,2019-01-19
Karl Roberson,-155.0,-220.0,-210.0,0.2269999999999999,2019-07-13
Karl Roberson,150.0,100.0,145.0,-0.121,2019-11-09
Karl Roberson,130.0,170.0,180.0,-0.111,2020-05-13
Karl Roberson,170.0,170.0,184.0,-0.013,2020-06-13
Karl Roberson,175.0,110.0,135.0,-0.222,2021-04-24
Karl Roberson,150.0,-159.0,-142.0,-0.5,2022-03-12
Karl Roberson,105.0,-125.0,146.0,-0.0969999999999999,2022-07-09
Karl Williams,145.0,-260.0,-220.0,-0.7440000000000001,2023-03-11
Karl Williams,-550.0,-455.0,-400.0,0.04,2023-04-08
Karl Williams,-355.0,-450.0,-400.0,-0.037,2023-05-13
Karl Williams,-290.0,-210.0,-180.0,-0.212,2024-03-24
Karl Williams,-245.0,-205.0,-160.0,-0.22,2024-08-10
Karlos Vemola,-145.0,-145.0,-145.0,0.0,2010-07-03
Karlos Vemola,-120.0,-115.0,-115.0,0.022,2010-11-13
Karlos Vemola,-225.0,-220.0,-220.0,0.0069999999999999,2011-08-14
Karlos Vemola,-115.0,110.0,115.0,0.122,2012-05-05
Karlos Vemola,140.0,175.0,190.0,0.152,2012-07-11
Karlos Vemola,-185.0,-135.0,-125.0,0.129,2013-06-08
Karo Parisyan,-260.0,-360.0,-360.0,0.3,2007-11-17
Karo Parisyan,-260.0,-150.0,-150.0,0.1689999999999999,2008-04-02
Karo Parisyan,-310.0,-225.0,-225.0,-0.158,2009-01-31
Karo Parisyan,-145.0,-160.0,-160.0,0.104,2010-11-20
Karol Rosa,125.0,-125.0,-115.0,-0.223,2019-08-31
Karol Rosa,-210.0,-330.0,-303.0,0.276,2020-07-11
Karol Rosa,-205.0,-225.0,-190.0,-0.022,2021-02-06
Karol Rosa,-275.0,-1100.0,-590.0,-0.1939999999999999,2021-10-02
Karol Rosa,-200.0,-275.0,-225.0,0.085,2022-03-26
Karol Rosa,-275.0,-430.0,-333.0,0.154,2022-10-22
Karol Rosa,,,,,2023-03-25
Karol Rosa,-225.0,-105.0,105.0,0.267,2023-04-22
Karol Rosa,-210.0,-200.0,-175.0,0.04,2023-07-01
Karol Rosa,110.0,145.0,156.0,-0.146,2023-12-17
Karol Rosa,-155.0,-280.0,-240.0,0.26,2024-08-10
Karol Rosa,-170.0,-275.0,-245.0,-0.142,2025-01-19
Karol Rosa,-205.0,-158.0,-150.0,-0.145,2025-08-02
Karolina Kowalkiewicz,135.0,145.0,145.0,0.015,2015-12-19
Karolina Kowalkiewicz,-280.0,-320.0,-305.0,-0.0289999999999999,2016-05-08
Karolina Kowalkiewicz,190.0,165.0,165.0,0.102,2016-07-30
Karolina Kowalkiewicz,285.0,325.0,340.0,-0.031,2016-11-12
Karolina Kowalkiewicz,260.0,240.0,255.0,0.0579999999999999,2017-06-03
Karolina Kowalkiewicz,-350.0,-620.0,-600.0,0.375,2017-10-21
Karolina Kowalkiewicz,-270.0,-190.0,-187.0,-0.098,2018-04-07
Karolina Kowalkiewicz,240.0,350.0,360.0,-0.11,2018-09-08
Karolina Kowalkiewicz,-135.0,-160.0,-150.0,0.158,2019-03-30
Karolina Kowalkiewicz,-195.0,-106.0,105.0,-0.396,2019-06-08
Karolina Kowalkiewicz,150.0,225.0,250.0,-0.15,2020-02-22
Karolina Kowalkiewicz,-180.0,-158.0,-133.0,-0.1639999999999999,2021-08-07
Karolina Kowalkiewicz,-120.0,-115.0,100.0,-0.065,2022-06-04
Karolina Kowalkiewicz,-170.0,-110.0,105.0,-0.31,2022-11-12
Karolina Kowalkiewicz,,,,,2023-05-06
Karolina Kowalkiewicz,-116.0,-144.0,-130.0,0.075,2023-05-20
Karolina Kowalkiewicz,-163.0,-163.0,-135.0,0.005,2023-10-07
Karolina Kowalkiewicz,154.0,280.0,320.0,-0.226,2024-05-05
Karolina Kowalkiewicz,320.0,400.0,500.0,-0.069,2024-11-09
Karolina Kowalkiewicz,330.0,240.0,350.0,0.001,2025-10-11
Katlyn Cerminara,164.0,150.0,154.0,-0.052,2024-03-10
Katlyn Chookagian,180.0,150.0,160.0,-0.098,2016-07-13
Katlyn Chookagian,-155.0,-165.0,-160.0,-0.02,2016-11-12
Katlyn Chookagian,-210.0,-135.0,-133.0,-0.215,2017-04-08
Katlyn Chookagian,-165.0,-202.0,-190.0,-0.063,2018-01-27
Katlyn Chookagian,-155.0,-160.0,-156.0,-0.008,2018-07-28
Katlyn Chookagian,-265.0,-250.0,-213.0,0.036,2018-12-08
Katlyn Chookagian,135.0,-112.0,-105.0,-0.226,2019-06-08
Katlyn Chookagian,-140.0,-164.0,-135.0,-0.026,2019-11-02
Katlyn Chookagian,400.0,585.0,700.0,-0.061,2020-02-08
Katlyn Chookagian,100.0,124.0,125.0,0.111,2020-05-30
Katlyn Chookagian,165.0,131.0,155.0,-0.0819999999999999,2020-10-17
Katlyn Chookagian,145.0,205.0,225.0,-0.142,2020-11-21
Katlyn Chookagian,-135.0,-141.0,-124.0,0.01,2021-05-15
Katlyn Chookagian,-145.0,-240.0,-182.0,-0.1369999999999999,2022-01-15
Katlyn Chookagian,-175.0,-190.0,-172.0,-0.0139999999999999,2022-05-14
Katlyn Chookagian,,,,,2022-09-03
Katlyn Chookagian,150.0,175.0,195.0,0.126,2022-10-22
Katlyn Chookagian,130.0,160.0,170.0,-0.053,2024-03-10
Katsunori Kikuno,-190.0,-175.0,-165.0,0.039,2014-01-04
Katsunori Kikuno,185.0,270.0,285.0,0.246,2014-05-24
Katsunori Kikuno,-190.0,-145.0,-145.0,0.0969999999999999,2014-09-20
Katsunori Kikuno,145.0,215.0,215.0,0.222,2015-03-21
Katsunori Kikuno,160.0,210.0,220.0,0.175,2015-09-26
Kaua Fernandes,325.0,280.0,333.0,0.027,2025-03-22
Kaue Fernandes,130.0,150.0,175.0,0.119,2023-11-04
Kaue Fernandes,-350.0,-400.0,-345.0,-0.017,2024-08-03
Kaue Fernandes,-160.0,-235.0,-200.0,-0.125,2025-09-06
Kay Hansen,-175.0,-235.0,-227.0,0.15,2020-06-27
Kay Hansen,-130.0,-213.0,-180.0,-0.1669999999999999,2020-11-14
Kay Hansen,-115.0,-225.0,-175.0,0.252,2022-01-22
Kay Hansen,-110.0,-105.0,110.0,-0.072,2022-04-09
Kayla Harrison,-310.0,-480.0,-430.0,0.217,2024-04-14
Kayla Harrison,-649.0,-1115.0,-1000.0,0.358,2024-10-06
Kayla Harrison,-590.0,-700.0,-560.0,0.0289999999999999,2025-06-08
Kayla Harrison,-162.0,-225.0,-155.0,0.048,2026-01-01
Kaynan Kruschewsky,163.0,160.0,200.0,-0.0559999999999999,2023-11-05
Kaynan Kruschewsky,-163.0,-160.0,-138.0,0.0,2024-07-21
Kazuhiro Nakamura,170.0,175.0,175.0,0.018,2007-09-22
Kazuhiro Nakamura,200.0,200.0,200.0,0.0,2008-05-24
Kazuki Tokudome,-145.0,-120.0,-115.0,0.085,2013-03-02
Kazuki Tokudome,100.0,120.0,121.0,0.095,2013-07-06
Kazuki Tokudome,140.0,175.0,185.0,0.143,2014-03-01
Kazuki Tokudome,-115.0,-133.0,-130.0,-0.064,2014-09-20
Kazula Vargas,150.0,190.0,200.0,0.153,2020-02-15
Kazula Vargas,,,,,2022-03-19
Kb Bhullar,165.0,175.0,187.0,-0.001,2020-10-10
Keita Nakamura,-250.0,-325.0,-325.0,0.151,2008-02-02
Keita Nakamura,160.0,250.0,255.0,-0.1119999999999999,2015-09-26
Keita Nakamura,435.0,675.0,750.0,-0.045,2016-02-27
Keita Nakamura,180.0,135.0,135.0,-0.191,2016-07-13
Keita Nakamura,-190.0,-125.0,-125.0,-0.22,2016-10-01
Keita Nakamura,110.0,-116.0,-110.0,-0.114,2017-09-22
Keita Nakamura,135.0,170.0,178.0,0.142,2018-04-21
Keita Nakamura,-195.0,-172.0,-148.0,0.074,2018-12-01
Keita Nakamura,-110.0,-110.0,100.0,0.013,2019-04-20
Keith Berish,485.0,595.0,600.0,0.162,2014-07-06
Keith Berish,180.0,121.0,130.0,0.178,2016-12-09
Keith Jardine,220.0,280.0,280.0,0.158,2007-09-22
Keith Jardine,115.0,140.0,140.0,-0.012,2008-05-24
Keith Jardine,140.0,165.0,165.0,0.094,2008-10-18
Keith Jardine,210.0,280.0,280.0,0.184,2009-03-07
Keith Jardine,-215.0,-125.0,-125.0,0.186,2009-08-29
Keith Jardine,130.0,130.0,130.0,0.052,2010-02-21
Keith Jardine,130.0,140.0,140.0,0.025,2010-06-19
Keith Wisniewski,200.0,240.0,240.0,0.118,2011-10-01
Keith Wisniewski,180.0,135.0,135.0,-0.191,2012-04-21
Keith Wisniewski,-110.0,220.0,255.0,0.435,2013-09-04
Kelly Faszholz,230.0,255.0,255.0,0.002,2016-02-21
Kelly Faszholz,-130.0,-115.0,-110.0,0.009,2016-10-01
Kelvin Gastelum,220.0,258.0,260.0,0.109,2013-04-13
Kelvin Gastelum,-165.0,-310.0,-305.0,-0.212,2013-08-28
Kelvin Gastelum,-150.0,-180.0,-170.0,-0.061,2014-03-15
Kelvin Gastelum,-505.0,-300.0,-275.0,0.111,2014-06-28
Kelvin Gastelum,-155.0,-155.0,-155.0,0.0,2014-11-15
Kelvin Gastelum,-150.0,170.0,190.0,0.405,2015-01-31
Kelvin Gastelum,-405.0,-500.0,-460.0,-0.032,2015-06-13
Kelvin Gastelum,-290.0,-330.0,-330.0,-0.032,2015-11-21
Kelvin Gastelum,160.0,-115.0,-110.0,-0.379,2016-07-09
Kelvin Gastelum,130.0,102.0,105.0,-0.127,2016-12-10
Kelvin Gastelum,-315.0,-400.0,-345.0,-0.039,2017-03-11
Kelvin Gastelum,-105.0,-155.0,-150.0,-0.181,2017-07-22
Kelvin Gastelum,-230.0,-285.0,-265.0,-0.052,2017-11-25
Kelvin Gastelum,-105.0,-105.0,-103.0,0.005,2018-05-12
Kelvin Gastelum,185.0,150.0,153.0,0.076,2019-04-13
Kelvin Gastelum,-155.0,-227.0,-190.0,0.215,2019-11-02
Kelvin Gastelum,-150.0,-115.0,100.0,0.135,2020-07-18
Kelvin Gastelum,-190.0,-213.0,-177.0,-0.016,2021-02-13
Kelvin Gastelum,220.0,205.0,240.0,-0.009,2021-04-17
Kelvin Gastelum,195.0,120.0,135.0,-0.311,2021-08-21
Kelvin Gastelum,160.0,180.0,180.0,-0.057,2023-01-14
